canonical_id,canonical_date,canonical_amount,canonical_reference,bank_record_id,ledger_record_id,invoice_record_id,settlement_record_id,match_status,exception_type,exception_source
CAN-0001,2024-06-12,56109.87,REF-42868828,BNK-0001,LED-0001,INV-0001,STL-0001,matched,none,none
CAN-0002,2024-02-27,70199.2,REF-83197857,BNK-0002,LED-0002,INV-0002,STL-0002,matched,none,none
CAN-0003,2024-01-23,295451.01,REF-13999315,BNK-0003,LED-0003,INV-0003,STL-0003,matched,none,none
CAN-0004,2024-01-24,109709.67,REF-90801586,BNK-0004,LED-0004,INV-0004,STL-0004,matched,date_drift,settlement
CAN-0005,2024-01-07,280841.91,REF-66306997,BNK-0005,LED-0005,INV-0005,STL-0005,matched,amount_mismatch,bank
CAN-0006,2024-02-26,224879.92,REF-10872248,BNK-0006,LED-0006,INV-0006,STL-0006,matched,none,none
CAN-0007,2024-02-10,349220.63,REF-47295260,BNK-0007,LED-0007,INV-0007,STL-0007,matched,none,none
CAN-0008,2024-02-09,108049.22,REF-23718431,BNK-0008,LED-0008,INV-0008,STL-0008,matched,none,none
CAN-0009,2024-01-24,190273.69,REF-56164955,BNK-0009,LED-0009,INV-0009,STL-0009,matched,none,none
CAN-0010,2024-06-03,132628.17,REF-71662963,BNK-0010,LED-0010,INV-0010,STL-0010,matched,none,none
CAN-0011,2024-05-17,62850.67,REF-20576383,BNK-0011,LED-0011,INV-0011,STL-0011,matched,none,none
CAN-0012,2024-05-21,146942.55,REF-58537831,BNK-0012,LED-0012,INV-0012,STL-0012,matched,none,none
CAN-0013,2024-05-27,96548.15,REF-16150444,BNK-0013,LED-0013,INV-0013,STL-0013,matched,none,none
CAN-0014,2024-06-18,114335.19,REF-20709497,BNK-0014,LED-0014,INV-0014,STL-0014,matched,missing_reference,invoice
CAN-0015,2024-02-29,433308.59,REF-47308985,BNK-0015,LED-0015,INV-0015,STL-0015,matched,none,none
CAN-0016,2024-04-26,318024.38,REF-31831063,BNK-0016,LED-0016,INV-0016,STL-0016,matched,none,none
CAN-0017,2024-04-04,177957.71,REF-96977837,BNK-0017,LED-0017,INV-0017,STL-0017,matched,none,none
CAN-0018,2024-01-19,304760.94,REF-81691040,BNK-0018,LED-0018,INV-0018,STL-0018,matched,none,none
CAN-0019,2024-03-03,82119.55,REF-46231783,BNK-0019,LED-0019,INV-0019,STL-0019,matched,none,none
CAN-0020,2024-06-12,344236.9,REF-53524491,BNK-0020,LED-0020,INV-0020,STL-0020,matched,none,none
