invoice_id,invoice_date,due_date,amount,counterparty,tax_line,reference,invoice_status
INV-0001,2024-06-12,2024-07-03,56109.87,"Choudhury, Bakshi and Maharaj",GST@18%=10099.78,REF-42868828,PAID
INV-0002,2024-02-27,2024-03-15,70199.2,Kapoor and Sons,GST@18%=12635.86,REF-83197857,PENDING
INV-0003,2024-01-23,2024-02-09,295451.01,"Chaudry, Chahal and Sami",GST@18%=53181.18,REF-13999315,PAID
INV-0004,2024-01-24,2024-02-12,109709.67,Balan Inc,GST@18%=19747.74,REF-90801586,OVERDUE
INV-0005,2024-01-07,2024-01-14,280841.91,Kaul PLC,GST@18%=50551.54,REF-66306997,OVERDUE
INV-0006,2024-02-26,2024-03-21,224879.92,"Bala, Issac and Saini",GST@18%=40478.39,REF-10872248,PENDING
INV-0007,2024-02-10,2024-03-01,349220.63,Sen PLC,GST@18%=62859.71,REF-47295260,PAID
INV-0008,2024-02-09,2024-02-22,108049.22,Ahuja-Dutta,GST@18%=19448.86,REF-23718431,OVERDUE
INV-0009,2024-01-24,2024-02-11,190273.69,"Sami, Oak and Mall",GST@18%=34249.26,REF-56164955,OVERDUE
INV-0010,2024-06-03,2024-06-25,132628.17,Kale LLC,GST@18%=23873.07,REF-71662963,OVERDUE
INV-0011,2024-05-17,2024-06-07,62850.67,Chanda Group,GST@18%=11313.12,REF-20576383,PAID
INV-0012,2024-05-21,2024-06-03,146942.55,Parmer LLC,GST@18%=26449.66,REF-58537831,PENDING
INV-0013,2024-05-27,2024-06-20,96548.15,"Lalla, Bassi and Sharaf",GST@18%=17378.67,REF-16150444,PAID
INV-0014,2024-06-18,2024-07-04,114335.19,"Dash, Radhakrishnan and Brar",GST@18%=20580.33,,PENDING
INV-0015,2024-02-29,2024-03-29,433308.59,"Memon, Pathak and Handa",GST@18%=77995.55,REF-47308985,PENDING
INV-0016,2024-04-26,2024-05-06,318024.38,"Boase, Bath and Kari",GST@18%=57244.39,REF-31831063,PAID
INV-0017,2024-04-04,2024-05-01,177957.71,Buch-Kaul,GST@18%=32032.39,REF-96977837,OVERDUE
INV-0018,2024-01-19,2024-02-02,304760.94,Rai LLC,GST@18%=54856.97,REF-81691040,OVERDUE
INV-0019,2024-03-03,2024-03-15,82119.55,Patla-Gaba,GST@18%=14781.52,REF-46231783,PENDING
INV-0020,2024-06-12,2024-07-06,344236.9,Pant-Kadakia,GST@18%=61962.64,REF-53524491,PAID
INV-0021,2024-01-15,2024-02-08,114909.51,"Loke, Bora and Garg",GST@18%=20683.71,REF-52339391,PENDING
INV-0022,2024-04-12,2024-04-21,134236.57,"Konda, Gade and Shere",GST@18%=24162.58,REF-86125617,PAID
INV-0023,2024-03-21,2024-03-31,106706.96,Madan-Kanda,GST@18%=19207.25,REF-63100814,PENDING
INV-0024,2024-06-13,2024-06-23,229696.5,"Nair, Bhalla and Karnik",GST@18%=41345.37,REF-28740864,OVERDUE
INV-0025,2024-03-04,2024-03-15,372622.0,Mutti Group,GST@18%=67071.96,REF-45264581,PENDING
INV-0026,2024-05-29,2024-06-27,214502.7,Bhatti-Kakar,GST@18%=38610.49,REF-63606628,PENDING
