ledger_entry_id,posting_date,txn_date,debit_credit,amount,counterparty,tax_line,reference,cost_center
LED-0001,2024-06-12,2024-06-12,CR,56109.87,"Choudhury, Bakshi and Maharaj",GST@18%=10099.78,REF-42868828,CC-TECH
LED-0002,2024-02-29,2024-02-27,CR,70199.2,Kapoor and Sons,GST@18%=12635.86,REF-83197857,CC-OPS
LED-0003,2024-01-24,2024-01-23,DR,295451.01,"Chaudry, Chahal and Sami",GST@18%=53181.18,REF-13999315,CC-SALES
LED-0004,2024-01-25,2024-01-24,DR,109709.67,Balan Inc,GST@18%=19747.74,REF-90801586,CC-SALES
LED-0005,2024-01-09,2024-01-07,CR,280841.91,Kaul PLC,GST@18%=50551.54,REF-66306997,CC-OPS
LED-0006,2024-02-27,2024-02-26,DR,224879.92,"Bala, Issac and Saini",GST@18%=40478.39,REF-10872248,CC-SALES
LED-0007,2024-02-11,2024-02-10,CR,349220.63,Sen PLC,GST@18%=62859.71,REF-47295260,CC-TECH
LED-0008,2024-02-09,2024-02-09,CR,108049.22,Ahuja-Dutta,GST@18%=19448.86,REF-23718431,CC-TECH
LED-0009,2024-01-25,2024-01-24,CR,190273.69,"Sami, Oak and Mall",GST@18%=34249.26,REF-56164955,CC-TECH
LED-0010,2024-06-04,2024-06-03,CR,132628.17,Kale LLC,GST@18%=23873.07,REF-71662963,CC-SALES
LED-0011,2024-05-18,2024-05-17,DR,62850.67,Chanda Group,GST@18%=11313.12,REF-20576383,CC-SALES
LED-0012,2024-05-22,2024-05-21,DR,146942.55,Parmer LLC,GST@18%=26449.66,REF-58537831,CC-SALES
LED-0013,2024-05-29,2024-05-27,DR,96548.15,"Lalla, Bassi and Sharaf",GST@18%=17378.67,REF-16150444,CC-SALES
LED-0014,2024-06-18,2024-06-18,DR,114335.19,"Dash, Radhakrishnan and Brar",GST@18%=20580.33,REF-20709497,CC-SALES
LED-0015,2024-03-02,2024-02-29,DR,433308.59,"Memon, Pathak and Handa",GST@18%=77995.55,REF-47308985,CC-OPS
LED-0016,2024-04-26,2024-04-26,CR,318024.38,"Boase, Bath and Kari",GST@18%=57244.39,REF-31831063,CC-SALES
LED-0017,2024-04-06,2024-04-04,DR,177957.71,Buch-Kaul,GST@18%=32032.39,REF-96977837,CC-ADMIN
LED-0018,2024-01-21,2024-01-19,CR,304760.94,Rai LLC,GST@18%=54856.97,REF-81691040,CC-TECH
LED-0019,2024-03-03,2024-03-03,DR,82119.55,Patla-Gaba,GST@18%=14781.52,REF-46231783,CC-OPS
LED-0020,2024-06-13,2024-06-12,DR,344236.9,Pant-Kadakia,GST@18%=61962.64,REF-53524491,CC-SALES
LED-0021,2024-01-16,2024-01-15,CR,114909.51,"Loke, Bora and Garg",GST@18%=20683.71,REF-52339391,CC-ADMIN
LED-0022,2024-04-14,2024-04-12,DR,134236.57,"Konda, Gade and Shere",GST@18%=24162.58,REF-86125617,CC-SALES
LED-0023,2024-03-23,2024-03-21,DR,106706.96,Madan-Kanda,GST@18%=19207.25,REF-63100814,CC-SALES
LED-0024,2024-06-15,2024-06-13,CR,229696.5,"Nair, Bhalla and Karnik",GST@18%=41345.37,REF-28740864,CC-SALES
LED-0025,2024-03-06,2024-03-04,DR,372622.0,Mutti Group,GST@18%=67071.96,REF-45264581,CC-TECH
LED-0026,2024-05-31,2024-05-29,CR,214502.7,Bhatti-Kakar,GST@18%=38610.49,REF-63606628,CC-TECH
LED-0027,2024-04-02,2024-04-02,CR,110050.72,"Murty, Kala and Tata",GST@18%=19809.13,REF-78387461,CC-SALES
LED-0028,2024-05-07,2024-05-06,CR,45909.25,Shanker-Dhar,GST@18%=8263.66,REF-24716857,CC-SALES
LED-0029,2024-02-10,2024-02-09,CR,313909.3,Dewan-Koshy,GST@18%=56503.67,REF-90048665,CC-ADMIN
LED-0030,2024-01-19,2024-01-17,DR,192691.27,"Yohannan, Lall and Sangha",GST@18%=34684.43,REF-72820592,CC-ADMIN
LED-0031,2024-05-15,2024-05-15,CR,126081.35,"Rastogi, Pathak and Kanda",GST@18%=22694.64,REF-11540956,CC-ADMIN
LED-0032,2024-06-24,2024-06-23,CR,360500.55,Upadhyay Group,GST@18%=64890.1,REF-45812670,CC-TECH
LED-0033,2024-06-14,2024-06-13,DR,170417.65,Batta Inc,GST@18%=30675.18,REF-68353204,CC-SALES
LED-0034,2024-02-11,2024-02-10,CR,227134.99,Dutta Ltd,GST@18%=40884.3,REF-77187530,CC-OPS
LED-0035,2024-02-16,2024-02-15,CR,254087.0,Bhatt-Rajan,GST@18%=45735.66,REF-93926371,CC-TECH
LED-0036,2024-03-17,2024-03-17,CR,420913.84,Sidhu-Wadhwa,GST@18%=75764.49,REF-91734598,CC-TECH
LED-0037,2024-02-20,2024-02-20,CR,76843.21,Apte-Contractor,GST@18%=13831.78,REF-82394227,CC-OPS
LED-0038,2024-05-16,2024-05-15,CR,459287.5,"Yadav, Loke and Oak",GST@18%=82671.75,REF-53507489,CC-TECH
LED-0039,2024-05-06,2024-05-05,CR,10228.63,Memon Group,GST@18%=1841.15,REF-51273847,CC-SALES
LED-0040,2024-03-04,2024-03-02,DR,29433.62,Setty Inc,GST@18%=5298.05,REF-20570592,CC-SALES
LED-0041,2024-01-22,2024-01-22,CR,366087.84,"Lall, Tella and Gokhale",GST@18%=65895.81,REF-81498611,CC-ADMIN
LED-0042,2024-02-04,2024-02-02,DR,64631.54,"Cherian, Misra and Tripathi",GST@18%=11633.68,REF-83793389,CC-ADMIN
LED-0043,2024-02-14,2024-02-12,CR,132895.79,"Issac, Dua and Prakash",GST@18%=23921.24,REF-66792612,CC-ADMIN
LED-0044,2024-02-24,2024-02-24,DR,464492.29,Zacharia PLC,GST@18%=83608.61,REF-51837852,CC-TECH
LED-0045,2024-04-12,2024-04-12,CR,497577.1,Naik Group,GST@18%=89563.88,REF-68800797,CC-OPS
LED-0046,2024-05-13,2024-05-12,CR,226017.33,Choudhury LLC,GST@18%=40683.12,REF-40158366,CC-ADMIN
LED-0047,2024-01-19,2024-01-17,CR,169373.74,Khatri-Bhardwaj,GST@18%=30487.27,REF-84346088,CC-ADMIN
LED-0048,2024-03-01,2024-02-28,CR,294425.84,Brar Inc,GST@18%=52996.65,REF-19528530,CC-TECH
LED-0049,2024-07-02,2024-06-30,CR,315735.93,"Sunder, Biswas and Walia",GST@18%=56832.47,REF-19046318,CC-TECH
LED-0050,2024-01-10,2024-01-09,CR,429887.88,Dave Ltd,GST@18%=77379.82,REF-79008866,CC-OPS
LED-0051,2024-03-01,2024-03-01,DR,139599.39,Gandhi-Lanka,GST@18%=25127.89,REF-38754377,CC-TECH
LED-0052,2024-05-18,2024-05-18,DR,66589.77,"Sampath, Kakar and Zacharia",GST@18%=11986.16,REF-87337818,CC-OPS
LED-0053,2024-05-01,2024-05-01,CR,121877.12,"Iyer, Muni and Rastogi & Co",GST@18%=21937.88,REF-64634663,CC-TECH
LED-0054,2024-02-20,2024-02-18,CR,47615.74,"Prakash, Sarma and Varughese",GST@18%=8570.83,REF-57553014,CC-SALES
LED-0055,2024-04-18,2024-04-18,CR,205845.59,Dara-Kota,GST@18%=37052.21,REF-97705310,CC-OPS
LED-0056,2024-06-15,2024-06-14,DR,49659.73,Bhatt LLC,GST@18%=8938.75,REF-55540424,CC-TECH
LED-0057,2024-01-28,2024-01-28,DR,124703.84,Karpe PLC,GST@18%=22446.69,REF-81979055,CC-TECH
LED-0058,2024-04-24,2024-04-24,DR,70521.06,Amble Inc,GST@18%=12693.79,REF-47385696,CC-TECH
LED-0059,2024-04-30,2024-04-28,DR,125278.32,"Bhargava, Karnik and Bir",GST@18%=22550.1,REF-69476001,CC-ADMIN
LED-0060,2024-05-20,2024-05-20,DR,49405.41,Narayanan Inc,GST@18%=8892.97,REF-11980765,CC-TECH
LED-0061,2024-01-25,2024-01-24,CR,463220.31,"Khanna, Mallick and Sunder",GST@18%=83379.66,REF-32321899,CC-ADMIN
LED-0062,2024-04-15,2024-04-14,DR,243077.74,Zacharia and Sons,GST@18%=43753.99,REF-63826716,CC-SALES
LED-0063,2024-01-17,2024-01-16,CR,82736.24,"Solanki, Kibe and Solanki",GST@18%=14892.52,REF-62401521,CC-SALES
LED-0064,2024-03-08,2024-03-08,CR,463295.78,Gupta-Chandra,GST@18%=83393.24,REF-48285503,CC-ADMIN
LED-0065,2024-04-18,2024-04-18,DR,348447.46,Sankar LLC,GST@18%=62720.54,REF-98834863,CC-OPS
LED-0066,2024-05-04,2024-05-04,CR,77821.01,Roy-Sibal,GST@18%=14007.78,REF-39219319,CC-SALES
LED-0067,2024-01-15,2024-01-15,DR,289800.56,"Bhagat, Chaudhari and Bhat",GST@18%=52164.1,REF-18181586,CC-ADMIN
LED-0068,2024-03-23,2024-03-21,DR,29054.05,Nori-Chopra,GST@18%=5229.73,REF-73993471,CC-ADMIN
LED-0069,2024-05-09,2024-05-08,CR,459733.87,Handa and Sons,GST@18%=82752.1,REF-31130263,CC-TECH
LED-0070,2024-01-17,2024-01-15,CR,480409.06,"Sen, Dey and Sami",GST@18%=86473.63,REF-34941004,CC-TECH
LED-0071,2024-01-20,2024-01-18,DR,297720.04,Mallick Group,GST@18%=53589.61,REF-64193837,CC-SALES
LED-0072,2024-01-31,2024-01-31,DR,470827.27,Borra Group,GST@18%=84748.91,REF-43046464,CC-TECH
LED-0073,2024-05-30,2024-05-28,DR,297462.32,"Chaudhari, Bedi and Zachariah",GST@18%=53543.22,REF-21003626,CC-OPS
LED-0074,2024-04-17,2024-04-17,DR,328857.9,Chander and Sons,GST@18%=59194.42,REF-80166708,CC-SALES
LED-0075,2024-03-21,2024-03-21,DR,467385.78,Ray Group,GST@18%=84129.44,REF-99889098,CC-ADMIN
LED-0076,2024-03-22,2024-03-21,CR,119723.63,Kala-Rattan,GST@18%=21550.25,REF-27566185,CC-TECH
LED-0077,2024-06-20,2024-06-20,DR,322927.64,Gala Group,GST@18%=58126.98,REF-52436584,CC-TECH
LED-0078,2024-01-21,2024-01-19,CR,5153.07,Ramakrishnan LLC,GST@18%=927.55,REF-85563727,CC-ADMIN
LED-0079,2024-01-26,2024-01-26,DR,37093.73,Mangal-Sampath,GST@18%=6676.87,REF-77898694,CC-TECH
LED-0080,2024-03-10,2024-03-08,DR,66662.06,"Sur, Dubey and Gupta",GST@18%=11999.17,REF-19233013,CC-ADMIN
LED-0081,2024-03-03,2024-03-03,DR,185078.78,Kalla-Bhardwaj,GST@18%=33314.18,REF-68812137,CC-OPS
LED-0082,2024-05-20,2024-05-19,DR,351918.19,"Bhat, Murthy and Bhandari",GST@18%=63345.27,REF-97775215,CC-SALES
LED-0083,2024-05-15,2024-05-15,DR,4407.64,Sood PLC,GST@18%=793.38,REF-50181935,CC-TECH
LED-0084,2024-06-20,2024-06-18,CR,52241.46,"Dugar, Bhandari and Trivedi",GST@18%=9403.46,REF-45496015,CC-ADMIN
LED-0085,2024-01-30,2024-01-30,CR,444911.5,Grewal Inc,GST@18%=80084.07,REF-30863865,CC-TECH
LED-0086,2024-03-12,2024-03-10,CR,141237.26,"Bir, Keer and Raval",GST@18%=25422.71,REF-56020613,CC-TECH
LED-0087,2024-02-24,2024-02-22,CR,343904.82,Koshy PLC,GST@18%=61902.87,REF-77834855,CC-ADMIN
LED-0088,2024-05-05,2024-05-05,DR,125935.07,"Baral, Bumb and Saini",GST@18%=22668.31,REF-22388090,CC-ADMIN
LED-0089,2024-06-13,2024-06-11,CR,212076.1,"Virk, Mutti and Lal",GST@18%=38173.7,REF-15917225,CC-TECH
LED-0091,2024-03-08,2024-03-08,DR,81210.2,Randhawa-Deep,GST@18%=14617.84,REF-84045292,CC-OPS
LED-0092,2024-07-01,2024-06-29,DR,214129.62,"Mital, Shankar and Mutti",GST@18%=38543.33,REF-25015458,CC-TECH
LED-0093,2024-01-22,2024-01-20,DR,472552.94,Andra Group,GST@18%=85059.53,REF-83227889,CC-OPS
LED-0094,2024-01-11,2024-01-10,CR,417380.21,"Chaudhry, Borah and Yogi",GST@18%=75128.44,REF-84158663,CC-TECH
LED-0095,2024-02-07,2024-02-07,CR,215178.46,Toor LLC,GST@18%=38732.12,REF-51373735,CC-ADMIN
LED-0096,2024-04-03,2024-04-03,CR,449541.25,Palla Inc,GST@18%=80917.43,REF-58024342,CC-TECH
LED-0097,2024-02-24,2024-02-23,CR,341192.31,Pingle LLC,GST@18%=61414.62,REF-57469942,CC-TECH
LED-0098,2024-05-25,2024-05-23,DR,442125.28,Sarma PLC,GST@18%=79582.55,REF-93303777,CC-OPS
LED-0099,2024-02-10,2024-02-09,CR,462919.03,"Mittal, Wadhwa and Anand",GST@18%=83325.43,REF-31810617,CC-ADMIN
LED-0100,2024-02-16,2024-02-15,CR,440767.39,"Mistry, Chawla and Desai",GST@18%=79338.13,REF-34073380,CC-SALES
