settlement_id,settlement_date,amount,counterparty,reference,utr_number,payment_mode,status
STL-0001,2024-06-12,56109.87,"Choudhury, Bakshi and Maharaj",REF-42868828,UTR428941115748,Cheque,FAILED
STL-0002,2024-02-28,70199.2,Kapoor and Sons,REF-83197857,UTR316045967488,Cheque,PENDING
STL-0003,2024-01-23,295451.01,"Chaudry, Chahal and Sami",REF-13999315,UTR517630618448,UPI,PENDING
STL-0004,2024-01-28,109709.67,Balan Inc,REF-90801586,UTR825119489915,Cheque,PENDING
STL-0005,2024-01-07,280841.91,Kaul PLC,REF-66306997,UTR957643978300,NEFT,FAILED
STL-0006,2024-02-27,224879.92,"Bala, Issac and Saini",REF-10872248,UTR417410688547,RTGS,FAILED
STL-0007,2024-02-11,349220.63,Sen PLC,REF-47295260,UTR796725319270,RTGS,FAILED
STL-0008,2024-02-10,108049.22,Ahuja-Dutta,REF-23718431,UTR931839664317,RTGS,FAILED
STL-0009,2024-01-24,190273.69,"Sami, Oak and Mall",REF-56164955,UTR791074856708,NEFT,PENDING
STL-0010,2024-06-04,132628.17,Kale LLC,REF-71662963,UTR735798459372,IMPS,FAILED
STL-0011,2024-05-17,62850.67,Chanda Group,REF-20576383,UTR457749775324,Cheque,SETTLED
STL-0012,2024-05-21,146942.55,Parmer LLC,REF-58537831,UTR963856048497,UPI,PENDING
STL-0013,2024-05-28,96548.15,"Lalla, Bassi and Sharaf",REF-16150444,UTR283955479193,IMPS,PENDING
STL-0014,2024-06-19,114335.19,"Dash, Radhakrishnan and Brar",REF-20709497,UTR981923066620,NEFT,PENDING
STL-0015,2024-02-29,433308.59,"Memon, Pathak and Handa",REF-47308985,UTR929533234908,RTGS,FAILED
STL-0016,2024-04-27,318024.38,"Boase, Bath and Kari",REF-31831063,UTR713341033639,IMPS,SETTLED
STL-0017,2024-04-05,177957.71,Buch-Kaul,REF-96977837,UTR387822589021,UPI,SETTLED
STL-0018,2024-01-20,304760.94,Rai LLC,REF-81691040,UTR840317438269,IMPS,FAILED
STL-0019,2024-03-04,82119.55,Patla-Gaba,REF-46231783,UTR803611924651,IMPS,SETTLED
STL-0020,2024-06-12,344236.9,Pant-Kadakia,REF-53524491,UTR127794781513,UPI,FAILED
STL-0021,2024-01-16,114909.51,"Loke, Bora and Garg",REF-52339391,UTR773945892375,RTGS,FAILED
STL-0022,2024-04-12,134236.57,"Konda, Gade and Shere",REF-86125617,UTR433723585310,Cheque,SETTLED
STL-0023,2024-03-21,106706.96,Madan-Kanda,REF-63100814,UTR430872306667,Cheque,SETTLED
STL-0024,2024-06-13,229696.5,"Nair, Bhalla and Karnik",REF-28740864,UTR248337633154,Cheque,PENDING
STL-0025,2024-03-05,372622.0,Mutti Group,REF-45264581,UTR867695941207,UPI,PENDING
